DateTime,HIN,Transactions_ID,Order_ID,Currency_Pair,Transaction_Type,Amount,Amount_Currency,Trade_Price,Trade_Price_Currency,Total,Fee,Fee_Currency,Trade_Value_in_C1USD
2026-05-12 16:09:32 UTC,KM13868186,2290344,399f94dd-96bb-4637-836c-59a28e0ce8ba,BTC_C1USD,incoming,0.00186412,BTC,80304.9590349,C1USD,0.00186412,0.3293365,C1USD,150.0277057
2026-05-12 16:09:32 UTC,KM13868186,2290344,399f94dd-96bb-4637-836c-59a28e0ce8ba,BTC_C1USD,outgoing,150.0277057,C1USD,80304.9590349,C1USD,0.00186412,0.3293365,C1USD,150.0277057
2026-05-13 15:35:54 UTC,KM13868186,2291516,c5534cc8-e2df-4744-9c07-6623b1507cf8,BTC_C1USD,incoming,0.0018885,BTC,79253.6367205,C1USD,0.0018885,0.3292756,C1USD,149.9999983
2026-05-13 15:35:54 UTC,KM13868186,2291516,c5534cc8-e2df-4744-9c07-6623b1507cf8,BTC_C1USD,outgoing,149.9999983,C1USD,79253.6367205,C1USD,0.0018885,0.3292756,C1USD,149.9999983
2026-05-13 15:53:24 UTC,KM13868186,2291535,1a429fc5-dd97-4a71-8a79-eb29a1ef9ac9,ETH_C1USD,incoming,0.023333,ETH,2245,C1USD,0.023333,0.1152465,C1USD,52.4999999
2026-05-13 15:53:24 UTC,KM13868186,2291535,1a429fc5-dd97-4a71-8a79-eb29a1ef9ac9,ETH_C1USD,outgoing,52.4999999,C1USD,2245,C1USD,0.023333,0.1152465,C1USD,52.4999999
2026-05-13 16:02:20 UTC,KM13868186,2291753,9cd730a3-0a63-496d-8e34-6719ee7c04a8,BTC_C1USD,incoming,0.00094789,BTC,78947.2938501,C1USD,0.00094789,0.1646338,C1USD,74.9981657
2026-05-13 16:02:20 UTC,KM13868186,2291753,9cd730a3-0a63-496d-8e34-6719ee7c04a8,BTC_C1USD,outgoing,74.9981657,C1USD,78947.2938501,C1USD,0.00094789,0.1646338,C1USD,74.9981657
2026-05-13 16:04:00 UTC,KM13868186,2291754,07b52cd3-ae82-4372-9ffb-633ca9bdc06f,ETH_C1USD,incoming,0.044441,ETH,2245.1997105,C1USD,0.044441,0.2195171,C1USD,100.0000000
2026-05-13 16:04:00 UTC,KM13868186,2291754,07b52cd3-ae82-4372-9ffb-633ca9bdc06f,ETH_C1USD,outgoing,100,C1USD,2245.1997105,C1USD,0.044441,0.2195171,C1USD,100.0000000
2026-05-14 15:00:11 UTC,KM13868186,2292582,7a04c23b-351d-4b6a-a995-261794ed6591,C1EUR_C1USD,incoming,128.1383551,C1EUR,1.16804,C1USD,128.1383551,0.3292756,C1USD,150.0000000
2026-05-14 15:00:11 UTC,KM13868186,2292582,7a04c23b-351d-4b6a-a995-261794ed6591,C1EUR_C1USD,outgoing,150,C1USD,1.16804,C1USD,128.1383551,0.3292756,C1USD,150.0000000
2026-05-14 16:16:28 UTC,KM13868186,2292651,371dbe79-8fda-4aed-8036-d309cffb0c87,C1GBP_C1USD,incoming,111.0349894,C1GBP,1.34796,C1USD,111.0349894,0.3292756,C1USD,150.0000000
2026-05-14 16:16:28 UTC,KM13868186,2292651,371dbe79-8fda-4aed-8036-d309cffb0c87,C1GBP_C1USD,outgoing,150,C1USD,1.34796,C1USD,111.0349894,0.3292756,C1USD,150.0000000
2026-05-14 16:31:39 UTC,KM13868186,2292664,abc0b6f0-ab7c-4ff3-b2e8-10a684c7f5b0,BTC_C1USD,outgoing,0.00061423,BTC,81581.2251715,C1USD,49.9999971,0.1102426,C1USD,49.9999971
2026-05-14 16:31:39 UTC,KM13868186,2292664,abc0b6f0-ab7c-4ff3-b2e8-10a684c7f5b0,BTC_C1USD,incoming,49.9999971,C1USD,81581.2251715,C1USD,49.9999971,0.1102426,C1USD,49.9999971
2026-05-14 16:32:17 UTC,KM13868186,2292666,d5c4dc49-3323-4570-ab0b-5714358230fa,ETH_C1USD,outgoing,0.021736,ETH,2305.9015694,C1USD,50.0124955,0.1102701,C1USD,50.0124955
2026-05-14 16:32:17 UTC,KM13868186,2292666,d5c4dc49-3323-4570-ab0b-5714358230fa,ETH_C1USD,incoming,50.0124955,C1USD,2305.9015694,C1USD,50.0124955,0.1102701,C1USD,50.0124955
